timestamp,open,high,low,close,volume,amount,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5
2022-09-30 10:16:03,11.85,11.85,11.85,11.85,7900,9361500.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,193200,101900,101200,144200,214200,151200,144900,255900,76600,149800
2022-09-30 10:16:06,11.85,11.85,11.85,11.85,5500,6517500.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,188700,101900,101600,144200,214600,153800,144900,255900,76600,149800
2022-09-30 10:16:09,11.85,11.85,11.85,11.85,32700,38749500.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,168700,101400,102200,144700,214600,152200,144900,254700,76600,149800
2022-09-30 10:16:12,11.85,11.86,11.85,11.86,12500,14824600.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,190500,101800,102200,144700,214600,140100,144900,273300,76600,149800
2022-09-30 10:16:15,11.85,11.86,11.85,11.85,14100,16716700.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,187600,101800,102200,144700,214700,142400,144900,273300,76600,149800
2022-09-30 10:16:18,11.86,11.86,11.85,11.85,49500,58668100.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,137000,112800,102200,146100,215200,127000,144900,273300,76600,149800
2022-09-30 10:16:21,11.86,11.86,11.85,11.85,23100,27381600.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,150200,112800,102700,146100,215200,119100,144900,273300,76600,151600
2022-09-30 10:16:24,11.86,11.86,11.85,11.86,1600,1897500.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,149800,102800,103700,146100,214400,116000,144900,273300,76600,151600
2022-09-30 10:16:27,11.85,11.86,11.85,11.85,32600,38632900.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,124300,100800,103700,146600,214400,118300,144900,273000,76600,161400
2022-09-30 10:16:30,11.85,11.85,11.85,11.85,2400,2844000.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,122700,100800,103700,149200,215400,125100,144900,273000,76600,151800
2022-09-30 10:16:33,11.86,11.86,11.86,11.86,500,593000.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,122700,100800,108500,150700,216700,129200,144900,273000,76600,151800
2022-09-30 10:16:36,11.86,11.86,11.85,11.85,125200,148363700.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,101200,109100,150700,216700,462900,1500,133200,144900,273000,76600
2022-09-30 10:16:39,11.85,11.86,11.84,11.86,14000,16599500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,155700,104600,150700,238200,465400,2100,134500,154500,273000,76600
2022-09-30 10:16:42,11.85,11.86,11.84,11.85,71800,85088500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,130900,105100,150700,244400,465400,8500,95800,154500,273000,76600
2022-09-30 10:16:45,11.84,11.85,11.84,11.85,13500,15994500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,127800,105100,150700,244400,465300,6100,111900,154500,273000,76600
2022-09-30 10:16:48,11.85,11.85,11.85,11.85,5100,6043500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,134400,105300,154700,249900,468400,19600,105600,154500,273000,76600
2022-09-30 10:16:51,11.85,11.85,11.85,11.85,2500,2962500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,136000,106100,154700,249900,468800,17000,104800,154500,273000,78600
2022-09-30 10:16:54,11.85,11.85,11.85,11.85,3000,3555000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,136500,106500,154700,257100,470800,21800,107900,154500,273000,78600
2022-09-30 10:16:57,11.85,11.85,11.84,11.84,3200,3791000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,140900,106500,157100,253700,469900,32900,104000,119500,269300,78600
2022-09-30 10:17:00,11.85,11.85,11.85,11.85,29000,34365000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,141900,109100,155100,255100,470400,4000,107900,119400,269300,78600
2022-09-30 10:17:03,11.85,11.85,11.85,11.85,9500,11257500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,134900,108600,156000,257100,470600,400,111000,116200,269300,78600
2022-09-30 10:17:06,11.84,11.85,11.84,11.85,3400,4026100.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,200,133600,108800,156100,257100,111000,116200,269300,78600,164800
2022-09-30 10:17:09,11.85,11.86,11.84,11.85,38300,45349600.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,1000,100200,108600,156100,257900,94900,116200,269300,78600,164800
2022-09-30 10:17:12,11.85,11.85,11.84,11.84,1800,2132200.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,99500,113600,156400,257900,471900,10200,97800,106600,269300,78600
2022-09-30 10:17:15,11.85,11.85,11.85,11.85,2000,2370000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,106400,113600,156400,257900,384100,11100,97800,106600,269300,78600
2022-09-30 10:17:18,11.84,11.84,11.84,11.84,1700,2012800.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,113300,113600,153800,257900,384400,25800,100100,106600,269300,76600
2022-09-30 10:17:21,11.85,11.85,11.85,11.85,1000,1185000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,113400,113600,153800,259000,384700,28200,100100,106600,269300,76600
2022-09-30 10:17:24,11.85,11.85,11.85,11.85,1500,1777500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,114700,113600,153800,264400,384100,27800,100100,106600,269300,76600
2022-09-30 10:17:27,11.85,11.85,11.85,11.85,2100,2488500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,119800,114800,152600,263600,384100,57600,86600,106600,269300,76600
2022-09-30 10:17:30,11.85,11.85,11.84,11.84,600,710900.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,119100,114800,152600,264100,384100,64700,88100,106600,269300,76600
2022-09-30 10:17:33,11.84,11.84,11.84,11.84,100,118400.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,121100,114800,154000,268100,384400,66800,88100,106600,269300,76600
2022-09-30 10:17:36,11.84,11.84,11.84,11.84,100,118400.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,136200,114700,154000,268100,386400,71200,88100,105600,269300,76600
2022-09-30 10:17:39,,,,11.84,0,0.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,138200,119900,154000,266100,386400,71500,87000,105600,269300,76600
